departamento,muertes_pred,tasa_pred,SMR_pred,SMR_pred_low,SMR_pred_high
Quindio,102,18.38243232062988,1.8383743654378206,1.7515859561588343,1.9283887934079849
Huila,186,15.538700268282408,1.5539808740856194,1.496636598455722,1.6130378576220912
Risaralda,155,15.496423959213244,1.5497529415953766,1.488726337572156,1.612708576895323
Tolima,201,14.567023108612897,1.4568062265383976,1.4064390176937083,1.5086198254769323
Boyacá,187,14.548744264229079,1.454978211705599,1.4024278856184282,1.5090810542654163
Cauca,225,14.191538037652132,1.4192550408727125,1.3713663527166695,1.4684829089756992
Caldas,149,14.172102891149514,1.4173113875794077,1.3609109613750112,1.4755126100646576
Nariño,234,13.75105232452961,1.375203327300659,1.3304799146746555,1.4211573219835567
Norte de Santander,214,12.61446838292861,1.2615368251771815,1.2172013783986324,1.3071409340705211
Valle del Cauca,553,11.78975184052625,1.1790592877185773,1.1521872468038472,1.20659946771817
Cundinamarca,401,11.58575277139849,1.1586579255529854,1.1262086072694426,1.1918859221365017
"Bogotá, D.C.",906,11.441718590243815,1.144253479951713,1.122308947086795,1.1667885311058561
Santander,266,11.184382539055617,1.1185180390940601,1.0833482989333025,1.1546261505519704
Caquetá,45,10.675213348384007,1.0675974878049403,0.9932797334366441,1.1459746467830583
Antioquia,709,10.310914207469807,1.0311649749401388,1.0094210044964886,1.0534486669057896
Meta,106,9.249759878850401,0.925041972201378,0.8802979900464554,0.9714809311719077
Putumayo,32,8.355961736230645,0.8356557819188182,0.7644383873657922,0.9116788463553775
Arauca,23,8.234597418831699,0.8235184844114207,0.7423569747072062,0.9110723257548285
Casanare,36,7.716725548131335,0.7717276030377717,0.7094459008958541,0.837973181208401
Guaviare,5,6.343904709410805,0.6344357259769565,0.5144173682744025,0.7739376168593153
Cesar,65,4.50675583702628,0.4507077332077722,0.42234238717953004,0.4804678445231364
Magdalena,66,4.338497899909403,0.4338807392070938,0.40750987065264227,0.46150378170016926
Amazonas,3,4.147312400993235,0.41476082546986315,0.3176721608993882,0.5320396265639248
Atlántico,117,4.1324791336351865,0.4132773929190947,0.3941930443699156,0.43305356417866553
Bolívar,88,3.953379410552527,0.39536614298060485,0.374910441244312,0.4166499316868913
Sucre,38,3.7712049366984153,0.3771473960308516,0.3477378792765789,0.4083638291534806
Córdoba,66,3.331397581949007,0.3331635231352638,0.31317196468157016,0.3540924146988131
Vaupés,1,3.1192063428643464,0.3119428855341152,0.20286926568975763,0.4559530054651207
Archipiélago de San Andrés,2,2.7429194439557527,0.2743115113537071,0.19205731569035686,0.3801377117729099
Guainía,2,2.7367061755758932,0.27369014019259585,0.17980794254158253,0.39689730687833386
Chocó,14,2.4510441117913073,0.24512189600815856,0.2147668472029229,0.27853646748532124
Vichada,3,1.9986000662124968,0.1998742638842196,0.14450716083038964,0.26890006435825553
La Guajira,20,1.9279915325548067,0.19281290682366478,0.17164044113823393,0.2158469008063118
