Anio_Defuncion,Segmento,Casos
2008,Femenino,1821
2009,Femenino,1752
2010,Femenino,1719
2011,Femenino,1725
2012,Femenino,1838
2013,Femenino,1805
2014,Femenino,1970
2015,Femenino,1975
2016,Femenino,1973
2017,Femenino,1997
2018,Femenino,2075
2019,Femenino,2173
2020,Femenino,2039
2021,Femenino,2114
2022,Femenino,2083
2023,Femenino,2142
2024,Femenino,2064
2008,Masculino,2728
2009,Masculino,2698
2010,Masculino,2806
2011,Masculino,2780
2012,Masculino,2811
2013,Masculino,3010
2014,Masculino,3057
2015,Masculino,3134
2016,Masculino,3110
2017,Masculino,3200
2018,Masculino,3257
2019,Masculino,3251
2020,Masculino,3195
2021,Masculino,3212
2022,Masculino,3170
2023,Masculino,3161
2024,Masculino,3197
2008,Total,4549
2009,Total,4450
2010,Total,4525
2011,Total,4505
2012,Total,4649
2013,Total,4815
2014,Total,5027
2015,Total,5109
2016,Total,5083
2017,Total,5197
2018,Total,5332
2019,Total,5424
2020,Total,5234
2021,Total,5326
2022,Total,5254
2023,Total,5303
2024,Total,5261
2022,,1
