"Region"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"P-Value"
0	0	0	2008	2024	-4.6419	-28.3360	26.4906	0	0.709858
1	2	0	2008	2011	-5.1260	-8.9622	-3.0407	1	0.000000
1	2	1	2011	2015	2.2059	0.5514	4.4738	1	0.007998
1	2	2	2015	2024	-3.4951	-4.0525	-3.0567	1	0.000000
2	0	0	2008	2024	-0.3801	-2.7014	2.0854	0	0.713057
3	0	0	2008	2024	-5.3421	-32.4613	32.1932	0	0.733453
4	1	0	2008	2017	2.6060	0.2370	12.7876	1	0.029994
4	1	1	2017	2024	-4.8274	-18.1172	-1.5285	1	0.003599
5	3	0	2008	2010	-7.4671	-10.1371	-3.5058	1	0.000000
5	3	1	2010	2014	3.0622	1.4981	5.6406	1	0.000000
5	3	2	2014	2020	-4.2428	-6.1812	-3.3478	1	0.000000
5	3	3	2020	2024	-0.8642	-2.3481	2.6052	0	0.430314
6	0	0	2008	2024	1.3767	-0.0024	2.8155	0	0.050390
7	3	0	2008	2013	-6.8493	-8.4866	-6.0388	1	0.000000
7	3	1	2013	2016	-0.5697	-2.7681	0.7912	0	0.326335
7	3	2	2016	2019	-6.8911	-8.1378	-4.7339	1	0.000800
7	3	3	2019	2024	0.4226	-0.6017	2.2936	0	0.386723
8	2	0	2008	2011	-3.0882	-4.2528	-2.5792	1	0.000000
8	2	1	2011	2014	0.4628	-0.4122	0.8275	0	0.145171
8	2	2	2014	2024	-2.6397	-2.7544	-2.5464	1	0.000000
9	0	0	2008	2024	-3.1193	-3.9554	-2.2730	1	0.000000
10	0	0	2008	2024	-0.0005	-2.0074	2.1153	0	0.955009
11	2	0	2008	2011	15.3812	6.2748	37.3941	1	0.000000
11	2	1	2011	2015	-11.9185	-18.5651	-5.9448	1	0.000000
11	2	2	2015	2024	0.8232	-1.0967	4.8394	0	0.369126
12	1	0	2008	2020	-1.0834	-1.7104	0.1882	0	0.066787
12	1	1	2020	2024	-6.3381	-13.8686	-3.0819	1	0.000000
13	0	0	2008	2024	-0.3176	-1.9865	1.4453	0	0.701060
14	0	0	2008	2024	0.2930	-2.4659	3.2311	0	0.846631
15	0	0	2008	2024	0.8233	-0.3892	2.0638	0	0.182763
16	2	0	2008	2018	-2.7459	-3.4239	-1.7418	1	0.013597
16	2	1	2018	2021	-8.3382	-10.1744	-4.0036	1	0.009198
16	2	2	2021	2024	-0.1043	-4.2479	6.1085	0	0.894221
17	0	0	2008	2024	-11.8398	-49.2178	52.8292	0	0.629074
18	0	0	2008	2024	-2.9586	-6.9171	0.9414	0	0.143971
19	3	0	2008	2011	-6.3298	-12.6945	-2.5344	1	0.000000
19	3	1	2011	2017	3.3052	2.0043	7.2264	1	0.000000
19	3	2	2017	2020	-10.0655	-12.2137	-5.6883	1	0.000000
19	3	3	2020	2024	3.7894	1.1903	8.9181	1	0.002000
20	0	0	2008	2024	0.6382	-2.8853	4.3390	0	0.730254
21	3	0	2008	2010	-19.2585	-29.7656	-4.8948	1	0.011998
21	3	1	2010	2013	29.9928	16.7547	41.3815	1	0.005599
21	3	2	2013	2017	-12.0063	-19.8136	-6.3354	1	0.004799
21	3	3	2017	2024	0.3465	-2.6378	8.4876	0	0.671466
22	0	0	2008	2024	-2.6555	-3.8630	-1.4304	1	0.000000
23	0	0	2008	2024	-1.9108	-2.4164	-1.3867	1	0.000000
24	1	0	2008	2011	3.3414	-1.2342	13.2227	0	0.188362
24	1	1	2011	2024	-2.3543	-4.8317	-1.8406	1	0.000800
25	0	0	2008	2024	1.2965	-0.3516	2.9560	0	0.117177
26	0	0	2008	2024	-3.7992	-4.8721	-2.6914	1	0.000000
27	2	0	2008	2012	2.2296	-0.2398	8.6723	0	0.079984
27	2	1	2012	2017	-4.8896	-8.7258	-3.0029	1	0.002799
27	2	2	2017	2024	-0.1585	-1.4379	3.8409	0	0.937812
28	1	0	2008	2018	0.1294	-0.6078	1.1973	0	0.660668
28	1	1	2018	2024	-4.6751	-7.5928	-3.1830	1	0.000000
29	1	0	2008	2011	-21.4697	-41.9012	2.2310	0	0.090382
29	1	1	2011	2024	5.9630	2.0909	22.1037	1	0.027594
30	0	0	2008	2024	-3.4108	-3.9445	-2.8671	1	0.000000
31	0	0	2008	2024	-2.2772	-2.5536	-2.0097	1	0.000000
32	1	0	2008	2020	46.3908	-4.9827	303.9143	0	0.083583
32	1	1	2020	2024	-96.1101	-99.9924	-60.0078	1	0.000800
33	0	0	2008	2024	0.7301	-35.7411	55.3444	0	0.965407
