"Region"	"Year"	"Observed TAE"	"Modeled TAE"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
0	2008	1.98	4.69	NA	-4.6419	0	0
0	2009	12.51	4.48	NA	-4.6419	0	0
0	2010	3.44	4.27	NA	-4.6419	0	0
0	2011	16.77	4.07	NA	-4.6419	0	0
0	2012	14.99	3.88	NA	-4.6419	0	0
0	2013	15.41	3.70	NA	-4.6419	0	0
0	2014	6.40	3.53	NA	-4.6419	0	0
0	2015	4.35	3.37	NA	-4.6419	0	0
0	2016	0.00	3.21	NA	-4.6419	0	0
0	2017	13.70	3.06	NA	-4.6419	0	0
0	2018	13.05	2.92	NA	-4.6419	0	0
0	2019	2.29	2.78	NA	-4.6419	0	0
0	2020	3.70	2.65	NA	-4.6419	0	0
0	2021	1.91	2.53	NA	-4.6419	0	0
0	2022	5.08	2.41	NA	-4.6419	0	0
0	2023	5.32	2.30	NA	-4.6419	0	0
0	2024	5.88	2.19	NA	-4.6419	0	0
1	2008	12.03	12.00	NA	-5.1260*	2	2
1	2009	11.20	11.38	NA	-5.1260*	2	2
1	2010	11.13	10.80	NA	-5.1260*	2	2
1	2011	10.13	10.24	Joinpoint 1	NA	2	2
1	2012	10.46	10.47	NA	2.2059*	2	2
1	2013	10.47	10.70	NA	2.2059*	2	2
1	2014	11.37	10.94	NA	2.2059*	2	2
1	2015	10.59	11.18	Joinpoint 2	NA	2	2
1	2016	11.09	10.79	NA	-3.4951*	2	2
1	2017	10.95	10.41	NA	-3.4951*	2	2
1	2018	9.58	10.05	NA	-3.4951*	2	2
1	2019	9.68	9.70	NA	-3.4951*	2	2
1	2020	9.31	9.36	NA	-3.4951*	2	2
1	2021	9.27	9.03	NA	-3.4951*	2	2
1	2022	8.64	8.71	NA	-3.4951*	2	2
1	2023	8.22	8.41	NA	-3.4951*	2	2
1	2024	8.34	8.12	NA	-3.4951*	2	2
2	2008	15.68	11.39	NA	-0.3801	0	0
2	2009	10.90	11.34	NA	-0.3801	0	0
2	2010	11.06	11.30	NA	-0.3801	0	0
2	2011	6.61	11.26	NA	-0.3801	0	0
2	2012	13.93	11.21	NA	-0.3801	0	0
2	2013	11.92	11.17	NA	-0.3801	0	0
2	2014	9.86	11.13	NA	-0.3801	0	0
2	2015	13.29	11.09	NA	-0.3801	0	0
2	2016	12.47	11.04	NA	-0.3801	0	0
2	2017	7.69	11.00	NA	-0.3801	0	0
2	2018	12.14	10.96	NA	-0.3801	0	0
2	2019	12.20	10.92	NA	-0.3801	0	0
2	2020	13.87	10.88	NA	-0.3801	0	0
2	2021	10.53	10.84	NA	-0.3801	0	0
2	2022	10.64	10.79	NA	-0.3801	0	0
2	2023	9.32	10.75	NA	-0.3801	0	0
2	2024	10.45	10.71	NA	-0.3801	0	0
3	2008	3.00	1.45	NA	-5.3421	0	0
3	2009	5.04	1.37	NA	-5.3421	0	0
3	2010	5.91	1.30	NA	-5.3421	0	0
3	2011	0.00	1.23	NA	-5.3421	0	0
3	2012	1.25	1.16	NA	-5.3421	0	0
3	2013	1.71	1.10	NA	-5.3421	0	0
3	2014	6.03	1.04	NA	-5.3421	0	0
3	2015	7.55	0.99	NA	-5.3421	0	0
3	2016	4.19	0.93	NA	-5.3421	0	0
3	2017	5.69	0.88	NA	-5.3421	0	0
