modelo,ambito,cod_dpto,departamento,año,poblacion_proyectada,tasa_predicha_2025,muertes_estimadas_2025,tasa_obs_2024,variacion_vs_2024,rmse_referencia
XGBoost,Nacional,0,Colombia,2025,53108203.0,8.475961,4502,8.397048,0.078912,2.309924
XGBoost,Departamental,5,Antioquia,2025,6933166.0,8.489368438720703,589,8.337709,0.151659,2.309924
XGBoost,Departamental,8,Atlántico,2025,2868719.0,3.9594380855560303,114,4.170861,-0.211423,2.309924
XGBoost,Departamental,11,"Bogotá, D.C.",2025,7953617.0,10.11533546447754,805,10.020149,0.095186,2.309924
XGBoost,Departamental,13,Bolívar,2025,2243307.0,4.646194934844971,104,4.316031,0.330164,2.309924
XGBoost,Departamental,15,Boyacá,2025,1290719.0,10.958990097045898,141,9.683555,1.275435,2.309924
XGBoost,Departamental,17,Caldas,2025,1054601.0,9.41688346862793,99,7.579872,1.837011,2.309924
XGBoost,Departamental,18,Caquetá,2025,429424.0,10.04762077331543,43,13.594611,-3.54699,2.309924
XGBoost,Departamental,19,Cauca,2025,1599979.0,12.304478645324709,197,11.828441,0.476038,2.309924
XGBoost,Departamental,20,Cesar,2025,1472098.0,6.106413841247559,90,6.613076,-0.506663,2.309924
XGBoost,Departamental,23,Córdoba,2025,1995305.0,3.3822240829467773,67,3.027818,0.354406,2.309924
XGBoost,Departamental,25,Cundinamarca,2025,3538621.0,9.044684410095217,320,8.7677,0.276984,2.309924
XGBoost,Departamental,27,Chocó,2025,593189.0,5.404451847076416,32,5.651401,-0.246949,2.309924
XGBoost,Departamental,41,Huila,2025,1209322.0,12.159939765930176,147,14.50414,-2.3442,2.309924
XGBoost,Departamental,44,La Guajira,2025,1068598.0,3.360747098922729,36,2.206076,1.154671,2.309924
XGBoost,Departamental,47,Magdalena,2025,1547126.0,5.191921234130859,80,5.132015,0.059906,2.309924
XGBoost,Departamental,50,Meta,2025,1157479.0,9.055906295776367,105,9.486575,-0.430669,2.309924
XGBoost,Departamental,52,Nariño,2025,1714523.0,11.948923110961914,205,11.900924,0.047999,2.309924
XGBoost,Departamental,54,Norte de Santander,2025,1712826.0,10.25862979888916,176,11.31942,-1.06079,2.309924
XGBoost,Departamental,63,Quindio,2025,558033.0,11.153228759765623,62,11.074103,0.079126,2.309924
XGBoost,Departamental,66,Risaralda,2025,1003442.0,10.95236587524414,110,11.600136,-0.64777,2.309924
XGBoost,Departamental,68,Santander,2025,2400696.0,8.923279762268066,214,8.185626,0.737654,2.309924
XGBoost,Departamental,70,Sucre,2025,1035329.0,4.595980167388916,48,4.885706,-0.289725,2.309924
XGBoost,Departamental,73,Tolima,2025,1386534.0,9.824819564819336,136,10.367364,-0.542544,2.309924
XGBoost,Departamental,76,Valle del Cauca,2025,4710839.0,9.138090133666992,430,8.71406,0.42403,2.309924
XGBoost,Departamental,81,Arauca,2025,279434.0,11.02612018585205,31,10.453238,0.572882,2.309924
XGBoost,Departamental,85,Casanare,2025,473657.0,10.750473022460938,51,9.859502,0.890971,2.309924
XGBoost,Departamental,86,Putumayo,2025,391041.0,11.754384994506836,46,12.620946,-0.866561,2.309924
XGBoost,Departamental,88,Archipiélago de San Andrés,2025,63476.0,3.4135448932647705,2,2.945791,0.467754,2.309924
XGBoost,Departamental,91,Amazonas,2025,85186.0,5.669261932373047,5,5.882423,-0.213161,2.309924
XGBoost,Departamental,94,Guainía,2025,59861.0,11.527091026306152,7,12.750286,-1.223195,2.309924
XGBoost,Departamental,95,Guaviare,2025,84772.0,2.49855899810791,2,2.76965,-0.271091,2.309924
XGBoost,Departamental,97,Vaupés,2025,44163.0,3.79606294631958,2,0.0,3.796063,2.309924
XGBoost,Departamental,99,Vichada,2025,149121.0,3.6905229091644287,6,2.226945,1.463578,2.309924
