"Region","Joinpoint Model","AAPC Index","Start Obs","End Obs","AAPC","AAPC C.I. Low","AAPC C.I. High","Statistically Significant (0=No  1=Yes)","Test Statistic","P-Value"
0,0,0,2008,2024,-4.6419,-28.3360,26.4906,0,NA,0.709858
1,2,0,2008,2024,-2.4127,-2.7000,-2.1468,1,NA,0.000000
2,0,0,2008,2024,-0.3801,-2.7014,2.0854,0,NA,0.713057
3,0,0,2008,2024,-5.3421,-32.4613,32.1932,0,NA,0.733453
4,1,0,2008,2024,-0.7150,-2.8484,1.3651,0,NA,0.328734
5,3,0,2008,2024,-2.0377,-2.3355,-1.6407,1,NA,0.000000
6,0,0,2008,2024,1.3767,-0.0024,2.8155,0,NA,0.050390
7,3,0,2008,2024,-3.4697,-3.7472,-3.2033,1,NA,0.000000
8,2,0,2008,2024,-2.1501,-2.2190,-2.0768,1,NA,0.000000
9,0,0,2008,2024,-3.1193,-3.9554,-2.2730,1,NA,0.000000
10,0,0,2008,2024,-0.0005,-2.0074,2.1153,0,NA,0.955009
11,2,0,2008,2024,-0.0289,-0.9781,1.5876,0,NA,0.982603
12,1,0,2008,2024,-2.4241,-3.1473,-1.7235,1,NA,0.000000
13,0,0,2008,2024,-0.3176,-1.9865,1.4453,0,NA,0.701060
14,0,0,2008,2024,0.2930,-2.4659,3.2311,0,NA,0.846631
15,0,0,2008,2024,0.8233,-0.3892,2.0638,0,NA,0.182763
16,2,0,2008,2024,-3.3353,-3.8212,-2.8622,1,NA,0.000000
17,0,0,2008,2024,-11.8398,-49.2178,52.8292,0,NA,0.629074
18,0,0,2008,2024,-2.9586,-6.9171,0.9414,0,NA,0.143971
19,3,0,2008,2024,-1.0603,-1.6235,-0.4847,1,NA,0.000800
20,0,0,2008,2024,0.6382,-2.8853,4.3390,0,NA,0.730254
21,3,0,2008,2024,-0.7988,-2.0627,0.9744,0,NA,0.382324
22,0,0,2008,2024,-2.6555,-3.8630,-1.4304,1,NA,0.000000
23,0,0,2008,2024,-1.9108,-2.4164,-1.3867,1,NA,0.000000
24,1,0,2008,2024,-1.3108,-2.2265,-0.4587,1,NA,0.001200
25,0,0,2008,2024,1.2965,-0.3516,2.9560,0,NA,0.117177
26,0,0,2008,2024,-3.7992,-4.8721,-2.6914,1,NA,0.000000
27,2,0,2008,2024,-1.0789,-1.5570,-0.3379,1,NA,0.007998
28,1,0,2008,2024,-1.7001,-2.2110,-1.2224,1,NA,0.000000
29,1,0,2008,2024,0.1746,-2.4209,4.8535,0,NA,0.844231
30,0,0,2008,2024,-3.4108,-3.9445,-2.8671,1,NA,0.000000
31,0,0,2008,2024,-2.2772,-2.5536,-2.0097,1,NA,0.000000
32,1,0,2008,2024,-40.8954,-67.4622,-1.3662,1,NA,0.045991
33,0,0,2008,2024,0.7301,-35.7411,55.3444,0,NA,0.965407
